fault_id,fault_level,fault_entity,fault_type,fault_st_time,fault_ed_time,fault_duration,fault_message
0,service_instance,webservice2,[memory_anomalies],2021-07-01 11:06:52.249,2021-07-01 11:16:52.249,600.0,"2021-07-01 11:16:52,953 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:06:52.249428 and lasts 600 seconds and use 1g memory"
1,service_instance,dbservice1,[memory_anomalies],2021-07-01 11:44:26.882,2021-07-01 11:54:26.882,600.0,"2021-07-01 11:54:27,616 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:44:26.882752 and lasts 600 seconds and use 1g memory"
2,service_instance,dbservice1,[normal memory freed label],2021-07-01 12:25:08.804,2021-07-01 12:35:08.804,600.0,"2021-07-01 12:25:08,804 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [normal memory freed label] lasts ten minutes"
3,service_instance,dbservice2,[memory_anomalies],2021-07-01 12:44:55.798,2021-07-01 12:54:55.798,600.0,"2021-07-01 12:54:56,480 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 12:44:55.798971 and lasts 600 seconds and use 1g memory"
4,service_instance,redisservice1,[memory_anomalies],2021-07-01 13:08:42.446,2021-07-01 13:18:42.446,600.0,"2021-07-01 13:18:43,143 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 13:08:42.446638 and lasts 600 seconds and use 1g memory"
5,service_instance,dbservice2,[memory_anomalies],2021-07-01 15:00:22.680,2021-07-01 15:10:22.680,600.0,"2021-07-01 15:10:23,517 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:00:22.680775 and lasts 600 seconds and use 1g memory"
8,service_instance,mobservice1,[login failure],2021-07-01 15:11:37.103,2021-07-01 15:11:48.103,11.0,"2021-07-01 15:11:37,103 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | fe98597588500994 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
9,service_instance,mobservice1,[login failure],2021-07-01 15:15:11.830,2021-07-01 15:15:22.830,11.0,"2021-07-01 15:15:11,830 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 4c8314c7ce3aceab | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
10,service_instance,mobservice2,[login failure],2021-07-01 15:16:11.833,2021-07-01 15:16:22.833,11.0,"2021-07-01 15:16:11,833 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 7fdf2654e8f96153 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
11,service_instance,mobservice2,[login failure],2021-07-01 15:21:05.900,2021-07-01 15:21:16.900,11.0,"2021-07-01 15:21:05,900 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 5cb180a87fdce4ed | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
12,service_instance,mobservice2,[login failure],2021-07-01 15:21:36.455,2021-07-01 15:21:47.455,11.0,"2021-07-01 15:21:36,455 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 391c44e9b3c8fb05 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
13,service_instance,mobservice1,[login failure],2021-07-01 15:22:26.966,2021-07-01 15:22:37.966,11.0,"2021-07-01 15:22:26,966 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 9ada6665b7e69d1c | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
14,service_instance,mobservice2,[login failure],2021-07-01 15:24:01.962,2021-07-01 15:24:12.962,11.0,"2021-07-01 15:24:01,962 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | d7a8af4e4bab3772 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
15,service_instance,mobservice2,[login failure],2021-07-01 15:25:58.528,2021-07-01 15:26:09.528,11.0,"2021-07-01 15:25:58,528 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f8ebdf2d5b05a09f | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
16,service_instance,mobservice1,[login failure],2021-07-01 15:27:06.145,2021-07-01 15:27:17.145,11.0,"2021-07-01 15:27:06,145 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 3bcb354ac6aa19a0 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
17,service_instance,mobservice2,[login failure],2021-07-01 15:30:02.148,2021-07-01 15:30:13.148,11.0,"2021-07-01 15:30:02,148 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | ac0a66b6d3869cbf | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
18,service_instance,mobservice2,[login failure],2021-07-01 15:31:02.232,2021-07-01 15:31:13.232,11.0,"2021-07-01 15:31:02,232 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | ba4954df31f1ac8c | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
19,service_instance,mobservice1,[login failure],2021-07-01 15:32:46.990,2021-07-01 15:32:57.990,11.0,"2021-07-01 15:32:46,990 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 779a695b7427e940 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
20,service_instance,mobservice1,[login failure],2021-07-01 15:35:42.392,2021-07-01 15:35:53.392,11.0,"2021-07-01 15:35:42,392 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 3f56a3a01494fe5b | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
21,service_instance,mobservice2,[login failure],2021-07-01 15:36:28.652,2021-07-01 15:36:39.652,11.0,"2021-07-01 15:36:28,652 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f49396f63fa5a8c6 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
22,service_instance,webservice2,[memory_anomalies],2021-07-01 15:38:50.211,2021-07-01 15:48:50.211,600.0,"2021-07-01 15:48:50,914 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:38:50.211766 and lasts 600 seconds and use 1g memory"
30,service_instance,mobservice1,[login failure],2021-07-01 16:00:12.625,2021-07-01 16:00:23.625,11.0,"2021-07-01 16:00:12,625 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 84e21640ffcb84b8 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
31,service_instance,mobservice2,[login failure],2021-07-01 16:01:27.583,2021-07-01 16:01:38.583,11.0,"2021-07-01 16:01:27,583 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f521a7f0decd1a4d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
34,service_instance,mobservice1,[login failure],2021-07-01 16:12:48.775,2021-07-01 16:12:59.775,11.0,"2021-07-01 16:12:48,775 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 1c68a85acbbabc35 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
35,service_instance,mobservice2,[login failure],2021-07-01 16:21:04.287,2021-07-01 16:21:15.287,11.0,"2021-07-01 16:21:04,287 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 7ed774277cb662fb | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
36,service_instance,redisservice1,[memory_anomalies],2021-07-01 16:24:38.443,2021-07-01 16:34:38.443,600.0,"2021-07-01 16:34:39,156 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 16:24:38.443625 and lasts 600 seconds and use 1g memory"
41,service_instance,mobservice2,[memory_anomalies],2021-07-01 16:35:16.396,2021-07-01 16:45:16.396,600.0,"2021-07-01 16:45:18,487 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 16:35:16.396970 and lasts 600 seconds and use 1g memory"
46,service_instance,mobservice2,[login failure],2021-07-01 16:47:26.850,2021-07-01 16:47:37.850,11.0,"2021-07-01 16:47:26,850 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 5ddde37049680dfe | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
47,service_instance,mobservice2,[login failure],2021-07-01 16:49:04.461,2021-07-01 16:49:15.461,11.0,"2021-07-01 16:49:04,461 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 51b22d5d79955036 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
48,service_instance,mobservice2,[login failure],2021-07-01 16:52:31.621,2021-07-01 16:52:42.621,11.0,"2021-07-01 16:52:31,621 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 6e83e4840d1d9696 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
49,service_instance,mobservice2,[login failure],2021-07-01 16:53:26.542,2021-07-01 16:53:37.542,11.0,"2021-07-01 16:53:26,542 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 3be3b9252cee8083 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired"
