fault_id,orig_fault_id,fault_level,fault_entity,fault_type,fault_st_time,fault_ed_time,fault_duration,fault_message,augmented
0,106,service_instance,redisservice2,[memory_anomalies],2021-07-01 18:45:00.236,2021-07-01 18:55:00.236,600.0,"2021-07-01 18:55:01,061 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 18:45:00.236885 and lasts 600 seconds and use 1g memory",False
1,125,service_instance,mobservice2,[memory_anomalies],2021-07-01 19:33:17.899,2021-07-01 19:43:17.899,600.0,"2021-07-01 19:43:18,755 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 19:33:17.899339 and lasts 600 seconds and use 1g memory",False
2,139,service_instance,loginservice2,[memory_anomalies],2021-07-01 20:35:19.880,2021-07-01 20:45:19.880,600.0,"2021-07-01 20:45:20,692 | WARNING | 0.0.0.2 | 172.17.0.3 | loginservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 20:35:19.880980 and lasts 600 seconds and use 1g memory",False
3,154,service_instance,mobservice2,[login failure],2021-07-01 21:17:31.214,2021-07-01 21:17:42.214,11.0,"2021-07-01 21:17:31,214 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f18705d185d29bc2 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
4,155,service_instance,redisservice1,[memory_anomalies],2021-07-01 21:18:22.477,2021-07-01 21:28:22.477,600.0,"2021-07-01 21:28:23,218 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 21:18:22.477451 and lasts 600 seconds and use 1g memory",False
5,180,service_instance,dbservice1,[memory_anomalies],2021-07-01 22:23:04.230,2021-07-01 22:33:04.230,600.0,"2021-07-01 22:33:05,033 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 22:23:04.230332 and lasts 600 seconds and use 1g memory",False
6,247,service_instance,mobservice2,[login failure],2021-07-02 00:43:51.281,2021-07-02 00:44:02.281,11.0,"2021-07-02 00:43:51,281 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | e3d7f8ae33f17d10 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
7,265,service_instance,mobservice1,[login failure],2021-07-02 01:40:16.075,2021-07-02 01:40:27.075,11.0,"2021-07-02 01:40:16,075 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 19e8315a54e28594 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
8,312,service_instance,mobservice1,[memory_anomalies],2021-07-02 03:27:46.546,2021-07-02 03:37:46.546,600.0,"2021-07-02 03:37:47,275 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 03:27:46.546606 and lasts 600 seconds and use 1g memory",False
9,337,service_instance,mobservice2,[memory_anomalies],2021-07-02 04:17:23.357,2021-07-02 04:27:23.357,600.0,"2021-07-02 04:27:24,070 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 04:17:23.357668 and lasts 600 seconds and use 1g memory",False
