id,template,count
1,"""POST <:*:> HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:><:PORT:>"" inbound <:NUM:> <:IP:><:PORT:> <:IP:><:PORT:> <:*:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local default",936699
48,"""POST <:*:> HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" <:*:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local <:IP:>:<:NUM:> <:IP:>:<:NUM:> <:IP:>:<:NUM:> - default",874220
45,"""POST <:*:> HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:>:<:NUM:>"" inbound <:NUM:> <:IP:><:PORT:> <:IP:>:<:NUM:> <:*:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local default",566032
55,"""POST <:*:> HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" <:*:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local <:IP:><:PORT:> <:IP:>:<:NUM:> <:IP:><:PORT:> - default",543523
2,"""- - -"" <:NUM:> - - - ""-"" <:NUM:> <:NUM:> <:NUM:> - ""-"" ""-"" ""-"" ""-"" ""<:IP:>:<:NUM:>"" outbound <:NUM:> basic-tidb-external.tidb-cluster.svc.cluster.local <:*:> <:IP:>:<:NUM:> <:*:> - -",408649
14,"""POST /api/traces HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""Go-http-client/<:NUM:>.<:NUM:>"" ""<:USERID:>"" ""jaeger-collector:<:NUM:>"" ""<:IP:><:PORT:>"" outbound <:NUM:> jaeger-collector.ts.svc.cluster.local <:*:> <:IP:>:<:NUM:> <:*:> - default",328169
5,"severity: info, message: received conversion request",319979
7,"severity: info, message: conversion request successful",319979
9,[40m<:ANSI:>info<:ANSI:><:ANSI:><:ANSI:>: Microsoft.AspNetCore.Hosting.Diagnostics[<:NUM:>],277050
18,[40m<:ANSI:>info<:ANSI:><:ANSI:><:ANSI:>: Microsoft.AspNetCore.Routing.EndpointMiddleware[<:NUM:>],277050
100,"""- - -"" <:NUM:> - - - ""-"" <:NUM:> <:NUM:> <:*:> - ""-"" ""-"" ""-"" ""-"" ""<:IP:>:<:NUM:>"" outbound <:NUM:> basic-tidb-external.tidb-cluster.svc.cluster.local <:IP:>:<:NUM:> <:IP:>:<:NUM:> <:IP:>:<:NUM:> - -",214144
6,"severity: debug, message: request started",144579
3,"severity: debug, message: request complete",144562
15,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-python/<:NUM:>.<:NUM:>.<:NUM:> grpc-c/<:NUM:>.<:NUM:>.<:NUM:> (manylinux; chttp2)"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" <:*:> inbound <:NUM:> <:IP:><:PORT:> <:*:> <:*:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local default",141291
16,Request finished in <:DURATION:>ms <:NUM:> application/grpc,138526
10,etCartAsync called with userId=<:USERID:>,121301
11,Executing endpoint 'gRPC - /hipstershop.CartService/GetCart',121301
17,Executed endpoint 'gRPC - /hipstershop.CartService/GetCart',121301
19,Request starting HTTP/<:HTTPVER:> POST http://<:SERVICE:><:PORT:>/hipstershop.CartService/GetCart application/grpc,121301
8,"severity: info, message: Getting supported currencies...",121234
39,"severity: INFO, message: [Recv ListRecommendations] product ids=<:ITEM:>",103799
44,"""POST /api/v2/spans HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""okhttp/<:NUM:>.<:NUM:>.<:NUM:>"" ""<:USERID:>"" ""jaeger-collector:<:NUM:>"" ""<:IP:><:PORT:>"" outbound <:NUM:> jaeger-collector.ts.svc.cluster.local <:*:> <:IP:>:<:NUM:> <:*:> - default",85278
50,"""GET <:*:> HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""k6/<:NUM:>.<:NUM:>.<:NUM:> (https://k6.io/)"" ""<:USERID:>"" ""frontend.ts<:PORT:>"" ""<:IP:>:<:NUM:>"" inbound <:NUM:> <:IP:><:PORT:> <:IP:>:<:NUM:> <:IP:>:<:NUM:> - default",72703
12,"severity: debug, message: serving product page",69308
43,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-python/<:NUM:>.<:NUM:>.<:NUM:> grpc-c/<:NUM:>.<:NUM:>.<:NUM:> (manylinux; chttp2)"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" <:*:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local <:IP:><:PORT:> <:IP:>:<:NUM:> <:IP:><:PORT:> - default",69210
